tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,favorite_count,retweet_count,jpg_url,img_num,dog_stage,dog_type,confidence_level,rating,dog_count
892420643555336193,nan,nan,2017-08-01 16:23:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,nan,nan,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,38006,8312,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,,,,13.0,0.0
892177421306343426,nan,nan,2017-08-01 00:17:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",nan,nan,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,32632,6139,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,,Chihuahua,0.323581,13.0,0.0
891815181378084864,nan,nan,2017-07-31 00:18:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,nan,nan,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,24552,4065,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,,Chihuahua,0.716012,12.0,0.0
891689557279858688,nan,nan,2017-07-30 15:58:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,nan,nan,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,41354,8456,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,,Labrador_retriever,0.168086,13.0,0.0
891327558926688256,nan,nan,2017-07-29 16:00:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",nan,nan,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,39530,9154,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,,basset,0.555712,12.0,0.0
891087950875897856,nan,nan,2017-07-29 00:08:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,nan,nan,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,19860,3046,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,,Chesapeake_Bay_retriever,0.425595,13.0,0.0
890971913173991426,nan,nan,2017-07-28 16:27:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",nan,nan,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,11608,2018,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,,Appenzeller,0.34170300000000003,13.0,0.0
890729181411237888,nan,nan,2017-07-28 00:22:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,nan,nan,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,64132,18436,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,,Pomeranian,0.566142,13.0,0.0
890609185150312448,nan,nan,2017-07-27 16:25:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,nan,nan,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,27275,4182,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,,Irish_terrier,0.487574,13.0,0.0
890240255349198849,nan,nan,2017-07-26 15:59:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,nan,nan,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,31297,7214,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,doggo,Pembroke,0.511319,14.0,0.0
